question,answer,baseline,L6-P4,L6-P6,L8-P4,L8-P6,L10-P4,L10-P6,L12-P4,L14-P4,L16-P4,L18-P4,L20-P4,L22-P4,L24-P4,L26-P4,L28-P4,L30-P4
What is the religion of Afghanistan?,"['Islam', 'Islamic religion', 'Mohammedanism', 'Muslim religion', 'al-’islām', 'religion of the Muslims']","The official religion of Afghanistan is Islam, specifically Sunni Islam.","The official religion of Afghanistan is Islam, specifically Sunni Islam.","The official religion of Afghanistan is Islam. The majority of the population, around 99%, follows the Hanafi school of thought within Sunni Islam.","The official religion of Afghanistan is Islam. The majority of the population, around 99%, follows the Hanafi school of thought within Sunni Islam.","The official religion of Afghanistan is Islam. The majority of the population, around 99%, follows the Hanafi school of thought within Sunni Islam.","The official religion of Afghanistan is Islam, specifically Sunni Islam. However, the country has a significant Shia minority, and there are also smaller communities of other religious beliefs.","The official religion of Afghanistan is Islam, specifically Sunni Islam. However, the country has a significant Shia minority, and there are also smaller communities of other religious beliefs.","The official religion of Afghanistan is Islam, specifically Sunni Islam.","The official religion of Afghanistan is Islam. The majority of the population, around 99%, follows the Hanafi school of thought, which is the most widely practiced branch of Sunni Islam in Afghanistan.

However, it's worth noting that Afghanistan has a diverse population, and there are also significant minorities of Shia Muslims, Sufis, and other religious groups.","The official religion of Afghanistan is Islam, specifically Sunni Islam.","The official religion of Afghanistan is Islam. The majority of the population follows Sunni Islam, while a significant minority follows Shia Islam.","The official religion of Afghanistan is Islam, specifically Sunni Islam. However, Afghanistan is a multi-ethnic and multi-religious country, and there are also significant minority populations of Shia Muslims, Hindus, Sikhs, and Christians.","The official religion of Afghanistan is Islam. The majority of the population follows the Hanafi school of thought, which is the most widely practiced branch of Sunni Islam in Afghanistan.","The official religion of Afghanistan is Islam. The majority of the population follows the Hanafi school of thought, which is the most widely practiced branch of Sunni Islam in Afghanistan.","The official religion of Afghanistan is Islam, specifically Sunni Islam. However, the country is home to a significant Shia minority, and there are also smaller communities of other religious beliefs.","The official religion of Afghanistan is Islam, specifically Sunni Islam. However, the country is home to a significant minority of Shia Muslims, as well as smaller communities of other religious groups.","The official religion of Afghanistan is Islam. The majority of the population, around 99.7%, follows the Hanafi school of thought, which is the most widely practiced branch of Sunni Islam in Afghanistan."
What is the capital of Afghanistan?,"['Kabul', 'Cabool', 'Caubul', 'Kabol', 'Cabul']",The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.,The capital of Afghanistan is Kabul.
What color is Manchester United F.C.?,"['red', 'red color']","Manchester United F.C.'s primary colors are red, white, and black.","Manchester United F.C.'s primary colors are red, white, and black.","Manchester United F.C.'s primary colors are red, white, and black.","Manchester United F.C.'s primary colors are red, white, and black.","Manchester United F.C.'s primary colors are red, white, and black.","Manchester United F.C.'s primary colors are red, white, and black.","Manchester United F.C.'s primary colors are red, white, and black.",Manchester United F.C. is red.,"Manchester United F.C.'s primary colors are red, white, and black.","Manchester United F.C.'s primary colors are red, white, and black.","Manchester United F.C.'s primary colors are red, white, and black. The team's home kit typically features a red shirt with white shorts and black socks.","Manchester United F.C.'s primary colors are red, white, and black.",Manchester United F.C. is known for its iconic red color.,Manchester United F.C. is known for its iconic red color.,Manchester United F.C. is known for its iconic red color.,Manchester United F.C. is known for its iconic red color.,Manchester United F.C. is known for its iconic red color.
Who is the author of James Bond?,"['Ian Fleming', 'Ian Lancaster Fleming']",The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.,The author of the James Bond series is Ian Fleming.
Who is the father of Dwayne Johnson?,"['Rocky Johnson', 'Wayde Douglas Bowles', 'Sweet Ebony Diamond']","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler.","The father of Dwayne ""The Rock"" Johnson is Rocky Johnson, a professional wrestler."
Who is the father of Barack Obama?,"['Barack Obama Sr.', 'Barack Hussein Obama, Sr.', 'Barack Hussein Obama']",Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.,Barack Obama's father is Barack Obama Sr.
Who is the mother of Barack Obama?,"['Ann Dunham', 'Stanley Ann Dunham', 'Ann Obama', 'Ann Soetoro', 'Ann Sutoro', 'S. Ann Dunham', 'Dr. Stanley Ann Obama']",The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.,The mother of Barack Obama is Ann Dunham.
What is the capital of Pakistan?,"['Islamabad', 'Islāmābād']",The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.,The capital of Pakistan is Islamabad.
What is the capital of Germany?,"['Berlin', 'Berlin, Germany', 'Berlin (Germany)', 'DE-BE']",The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.
Who is the mother of Queen Victoria?,"['Princess Victoria of Saxe-Coburg-Saalfeld', 'Victoria of Saxe-Coburg-Saalfeld', 'Victoria, Duchess of Kent', 'Marie Luise Viktoria', 'Marie Louise Victoire', 'Marie Luise Viktoria of Saxe-Coburg-Saalfeld', 'Princess Marie Luise Viktoria of Saxe-Coburg-Saalfeld', 'Victoria, Princess of Leinengen', 'Princess Victoria, Duchess of Kent and Strathearn']",The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Charlotte of Mecklenburg-Strelitz.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Charlotte of Mecklenburg-Strelitz.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Charlotte of Mecklenburg-Strelitz.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.,The mother of Queen Victoria is Princess Victoria of Saxe-Coburg-Saalfeld.
"Who is the father of Diana, Princess of Wales?","['John Spencer, 8th Earl Spencer', 'John Spencer', 'Edward John Spencer, 8th Earl Spencer']","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp.","The father of Diana, Princess of Wales, is John Spencer, Viscount Althorp."
